SKU,Produto,Anúncio atual,Estado ML,Revisão,Motivo
VTK018726,Cabo Rg58  Aquário M-805k Cabo De 5.5 Metos Conector Mini Uhf Macho Mini,MLB5200074931,paused,CATEGORIA_POR_APLICACAO_PENDENTE,"Cabo coaxial/extensão para antena ou sinal RF, atualmente em Outros Cabos de eletrônicos/áudio/vídeo. A revisão ainda não confirmou a categoria específica por aplicação. MLB70452 é de radiocomunicadores e não deve ser aplicada indistintamente a cabos de TV, celular e antena automotiva."
VTK017158,"Cabo Extensão De Antena Permak 4,80 Metros",MLB5200069413,paused,CATEGORIA_POR_APLICACAO_PENDENTE,"Cabo coaxial/extensão para antena ou sinal RF, atualmente em Outros Cabos de eletrônicos/áudio/vídeo. A revisão ainda não confirmou a categoria específica por aplicação. MLB70452 é de radiocomunicadores e não deve ser aplicada indistintamente a cabos de TV, celular e antena automotiva."
VTK018593,"Cabo Extensão De Antena Permak 3,80 Metros",MLB5200074813,paused,CATEGORIA_POR_APLICACAO_PENDENTE,"Cabo coaxial/extensão para antena ou sinal RF, atualmente em Outros Cabos de eletrônicos/áudio/vídeo. A revisão ainda não confirmou a categoria específica por aplicação. MLB70452 é de radiocomunicadores e não deve ser aplicada indistintamente a cabos de TV, celular e antena automotiva."
VTK018598,"Arandela Frahm 6"" Coaxial 30w Rms 8r Redonda 30158",MLB5200045921,paused,SUBSTITUICAO_PENDENTE_LOTE_BLOQUEADO,Arandela acústica Frahm para instalação fixa. Categoria atual de som automotivo diverge da aplicação. Preparação MLB11507 preservada para revisão final; substituição não executada enquanto lote bloqueado.
VTK018014,Cabo Para Antena Móvel Marinox Aquário B-3001 5.5 Metros,MLB5200074653,paused,CATEGORIA_POR_APLICACAO_PENDENTE,"Cabo coaxial/extensão para antena ou sinal RF, atualmente em Outros Cabos de eletrônicos/áudio/vídeo. A revisão ainda não confirmou a categoria específica por aplicação. MLB70452 é de radiocomunicadores e não deve ser aplicada indistintamente a cabos de TV, celular e antena automotiva."
VTK018864,Cabo Coaxial Cabletech Std-40+tp3 Branco Bobina 305 Metros 801214000p01cb22,MLB5200064933,paused,CATEGORIA_POR_APLICACAO_PENDENTE,"Cabo coaxial/extensão para antena ou sinal RF, atualmente em Outros Cabos de eletrônicos/áudio/vídeo. A revisão ainda não confirmou a categoria específica por aplicação. MLB70452 é de radiocomunicadores e não deve ser aplicada indistintamente a cabos de TV, celular e antena automotiva."
VTK017860,"Stetsom Stvhf35 Cabo Antena Vhf 3,5m",MLB5200054109,paused,CATEGORIA_POR_APLICACAO_PENDENTE,"Cabo coaxial/extensão para antena ou sinal RF, atualmente em Outros Cabos de eletrônicos/áudio/vídeo. A revisão ainda não confirmou a categoria específica por aplicação. MLB70452 é de radiocomunicadores e não deve ser aplicada indistintamente a cabos de TV, celular e antena automotiva."
VTK018634,Atuador Soft Etios 4fios Aa.42.0113,MLB5200077431,paused,SUBSTITUICAO_PENDENTE_LOTE_BLOQUEADO,Fornecedor descreve kit de trava elétrica instalado nas fechaduras do Etios; categoria atual de elevação de janelas é incompatível. Preparação MLB22369 preservada; substituição não executada enquanto lote bloqueado.
VTK001896,Kit Cabo Celular Aquário Cf-220 Rgc-213 20 Metros,MLB7602741932,paused,CATEGORIA_POR_APLICACAO_PENDENTE,"Cabo coaxial/extensão para antena ou sinal RF, atualmente em Outros Cabos de eletrônicos/áudio/vídeo. A revisão ainda não confirmou a categoria específica por aplicação. MLB70452 é de radiocomunicadores e não deve ser aplicada indistintamente a cabos de TV, celular e antena automotiva."
VTK019141,Módulo De Rebatimento Para Retrovisores Elétricos Tury Park 2,MLB5200167541,under_review,MODERACAO_CATEGORIA_PENDENTE,ML confirmou DOMAIN_WRONG_CATEG_V2. Consulta de categoria sugerida retornou HTTP 403. Não republicar por tentativa.
