ml_item_id,sku,produto_id,status,titulo,categoria,tipo_atual,prazo_atual,origem_comprovada,prazo_proposto,unidade,fonte,evidencia_em,pendencia,acao,doze_meses_sem_evidencia,observado_em
MLB6564925370,VTK000980,bb7cec2f-9a63-4053-9821-78f611c0c726,active,Gabinete Gamer Fortrek Crystal Mid Tower Preto,MLB1696,Garantia de fábrica,12 meses,,,,,,GARANTIA_CLASSIFICACAO_DURABILIDADE_PENDENTE,VALIDAR_EVIDENCIA,True,2026-09-06T03:11:04.485Z
MLB6563496572,VTK006351,75b0bd7e-9277-4d78-a381-da40cb21ddc6,active,Tv Stick Proeletronic Prosk-1000 4k 2gb 16gb Preto De Voz,MLB133950,Garantia de fábrica,12 meses,GARANTIA_FORNECEDOR,1,anos,produto_fornecedor_ofertas:1c1fdd88-7a1d-4c36-bc07-2638e90a7756:descricao,2026-09-05T23:56:33.118+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:04.503Z
MLB6563424768,VTK001232,4bbc6e37-741f-43fb-9a70-56d4e78c138c,active,Suporte Triarticulado Com Inclinação Para Tv 26 -75  Stpa200,MLB11529,Garantia de fábrica,12 meses,,,,,,GARANTIA_CLASSIFICACAO_DURABILIDADE_PENDENTE,VALIDAR_EVIDENCIA,True,2026-09-06T03:11:04.511Z
MLB4582573509,VTK003694,f5ed76b1-af7c-4d2b-b8bb-35e9e74e9d11,active,Cordas Violão Elixir 11002 Nanoweb 010-047,MLB278076,Garantia de fábrica,12 meses,,,,,,GARANTIA_CLASSIFICACAO_DURABILIDADE_PENDENTE,VALIDAR_EVIDENCIA,True,2026-09-06T03:11:04.491Z
MLB4582569783,VTK000876,ba5b084f-f17d-4e9f-bd13-ecf478e7d832,active,Suporte Notebook C3tech Nbc-40bk 2 Coolers Ajuste Altura Preto,MLB63262,Garantia de fábrica,12 meses,GARANTIA_FORNECEDOR,365,dias,produto_fornecedor_ofertas:1ea7c305-7bc7-4c7b-b297-43ec14652d2a:descricao,2026-09-05T23:34:29.139+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:04.847Z
MLB6573129170,VTK006019,300e672f-19a0-474c-9936-7c183657b728,active,Nobreak Ts Shara 4551 1400va Senoidal Puro Bivolt Preto,MLB270504,Garantia de fábrica,12 meses,GARANTIA_FORNECEDOR,1,anos,produto_fornecedor_ofertas:06239c40-7b72-4b64-b54f-b8818aba70e0:descricao,2026-09-06T02:19:22.264+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:04.853Z
MLB6573117368,VTK001071,a2dc48d7-0c98-4236-b8ed-e6d99a7284d3,active,Arandela Frahm 6 Pol Quadrada 25w Rms 8 Ohms Branco,MLB11507,Garantia de fábrica,12 meses,,,,,,GARANTIA_CLASSIFICACAO_DURABILIDADE_PENDENTE,VALIDAR_EVIDENCIA,True,2026-09-06T03:11:04.862Z
MLB6573116662,VTK001208,1441f65f-4400-43bc-b569-697a8a3ab9d8,active,Arandela 6  Frahm 40w Quadrada Cx Branca,MLB11507,Garantia de fábrica,12 meses,,,,,,GARANTIA_CLASSIFICACAO_DURABILIDADE_PENDENTE,VALIDAR_EVIDENCIA,True,2026-09-06T03:11:04.862Z
MLB6573116426,VTK006293,f4172897-0b60-4588-9f05-dc6fff6429d4,active,Microfone Sem Fio Akg Wp300 Vocal Dual Uhf,MLB439409,Garantia de fábrica,12 meses,,,,,,GARANTIA_CLASSIFICACAO_DURABILIDADE_PENDENTE,VALIDAR_EVIDENCIA,True,2026-09-06T03:11:05.196Z
MLB4585881731,VTK000800,fed1928a-ea50-4056-8d93-e75a930e8463,active,Caixa Embutir Frahm Cs 6 40w Coaxial Redonda,MLB11507,Garantia de fábrica,12 meses,,,,,,GARANTIA_CLASSIFICACAO_DURABILIDADE_PENDENTE,VALIDAR_EVIDENCIA,True,2026-09-06T03:11:05.037Z
MLB4585868757,VTK005449,68cd3686-bf28-4fe4-a0ce-5f1b55736324,active,Kit 10 Plugues P2 Storm 90° Metal Dourado Preto,MLB420707,Garantia de fábrica,12 meses,,,,,,GARANTIA_CLASSIFICACAO_DURABILIDADE_PENDENTE,VALIDAR_EVIDENCIA,True,2026-09-06T03:11:05.179Z
MLB4612598629,VTK005449,68cd3686-bf28-4fe4-a0ce-5f1b55736324,active,Plug P2 90 Storm Metal Gold Preto Para Áudio,MLB420707,Garantia de fábrica,12 meses,,,,,,GARANTIA_CLASSIFICACAO_DURABILIDADE_PENDENTE,VALIDAR_EVIDENCIA,True,2026-09-06T03:11:05.179Z
MLB6646506832,VTK000800,fed1928a-ea50-4056-8d93-e75a930e8463,active,Caixa De Som Arandela Frahm Cs 6 40w Rms Redonda Branca Aluminio Branco,MLB11507,Garantia de fábrica,12 meses,,,,,,GARANTIA_CLASSIFICACAO_DURABILIDADE_PENDENTE,VALIDAR_EVIDENCIA,True,2026-09-06T03:11:05.361Z
MLB6655134252,VTK001232,4bbc6e37-741f-43fb-9a70-56d4e78c138c,active,Suporte Tri Articulado Para Tv Televisores De 26 A 75 Multivisão Stpa2000 Preto,MLB11529,Garantia de fábrica,12 meses,,,,,,GARANTIA_CLASSIFICACAO_DURABILIDADE_PENDENTE,VALIDAR_EVIDENCIA,True,2026-09-06T03:11:05.378Z
MLB6681942972,VTK006293,f4172897-0b60-4588-9f05-dc6fff6429d4,active,Microfone S/ Fio Akg Wp 300 Duplo Bastão Dinâmico Cardióide Preto,MLB439409,Garantia de fábrica,12 meses,,,,,,GARANTIA_CLASSIFICACAO_DURABILIDADE_PENDENTE,VALIDAR_EVIDENCIA,True,2026-09-06T03:11:05.391Z
MLB6957770878,VTK009673,b7074670-75ab-401c-a230-6105c4ec607d,active,Par De Pratos De Bateria Chimbal 14  New York,MLB5354,Garantia de fábrica,12 meses,,,,,,GARANTIA_CLASSIFICACAO_DURABILIDADE_PENDENTE,VALIDAR_EVIDENCIA,True,2026-09-06T03:11:05.550Z
MLB4773205281,VTK009701,a78c34e1-d5e8-41d4-ae2a-6ed41dcb3213,active,Violoncelo Al 1210 3/4 Alan Com Capa Arco Breu,MLB29344,Garantia de fábrica,12 meses,,,,,,GARANTIA_CLASSIFICACAO_DURABILIDADE_PENDENTE,VALIDAR_EVIDENCIA,True,2026-09-06T03:11:05.876Z
MLB4773203279,VTK009693,693f55e0-4401-44f4-8fc4-2c44cfd124cd,active,Clarinete Soprano Bb 17 Chaves Cl 200 Com Case New York,MLB6812,Garantia de fábrica,12 meses,,,,,,GARANTIA_CLASSIFICACAO_DURABILIDADE_PENDENTE,VALIDAR_EVIDENCIA,True,2026-09-06T03:11:05.884Z
MLB4773181121,VTK009698,f1ca810a-3d74-4c67-9972-b2fa208bb81e,active,Guitarra Elétrica Ash Thomaz Teg 320 Natural Destro Natural Pau-rosa,MLB438516,Garantia de fábrica,12 meses,,,,,,GARANTIA_CLASSIFICACAO_DURABILIDADE_PENDENTE,VALIDAR_EVIDENCIA,True,2026-09-06T03:11:05.891Z
MLB4773180493,VTK009697,d53a0668-6c40-4f10-97fc-24ebe3c5ebaf,active,Escaleta Melódica 27 Teclas Azul New York Azul,MLB271075,Garantia de fábrica,12 meses,,,,,,GARANTIA_CLASSIFICACAO_DURABILIDADE_PENDENTE,VALIDAR_EVIDENCIA,True,2026-09-06T03:11:05.903Z
MLB4773179543,VTK009691,af79b2a4-19a9-4cc4-a94a-cd320cc9d2dc,active,Estante Reta Cs 3 Para Pratos De Bateria New York Prateado,MLB9678,Garantia de fábrica,12 meses,,,,,,GARANTIA_CLASSIFICACAO_DURABILIDADE_PENDENTE,VALIDAR_EVIDENCIA,True,2026-09-06T03:11:06.228Z
