index,sku,state,item_id,catalog_product_id,price,margin_percent,persisted,observation
"1","VTK026001","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB5075856243","MLB67298918","119.9","59.015847","true",""""""
"2","VTK017215","SOURCE_DEFERRED","","","","","false","""Fiamon arandela without speaker lacks validated official category and required-attribute evidence"""
"3","VTK012684","BLOCK_GTIN_UNIT_CONFLICT","","","","","false","""exact GTIN catalog is a three-pick kit while the authorized local commercial unit is four picks"""
"4","VTK026049","SOURCE_DEFERRED","","","","","false","""Frahm Sensus Lite 150BT lacks an exact official/catalog identity captured for this run"""
"5","VTK017789","BLOCK_CATEGORY","","","","","false","""Permak Ray Flex vehicle application has no high-confidence ML category in the validated source set"""
"6","VTK026013","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB5075856301","MLB29045908","479.9","55.176078","true",""""""
"7","VTK012911","BLOCK_GTIN_BRAND_CONFLICT","","","","","false","""exact GTIN catalog brand is JPG, not local BKR1"""
"8","VTK012362","BLOCK_REMOTE_DUPLICATE","","MLB26802337","","","false","""exact remote seller SKU, GTIN, or catalog match already exists"""
"9","VTK001336","BLOCK_GTIN_UNIT_CONFLICT","","","","","false","""GTIN-14 packaging relation and local commercial quantity are not proven for the requested single frying pan"""
"10","VTK000779","SOURCE_DEFERRED","","","","","false","""Tessen TNA-BRK1 bumper identity and category lack official evidence in the validated source set"""
"11","VTK001978","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432632684","MLB63166896","699.9","54.637805","true",""""""
"12","VTK000572","BLOCK_IMAGE","","","","","false","""local product has zero images"""
"13","VTK000552","BLOCK_IMAGE","","","","","false","""local product has zero images"""
"14","VTK006192","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432765754","MLB47000812","269.9","53.553168","true",""""""
"15","VTK003134","BLOCK_REQUIRED_ATTRIBUTE_EVIDENCE","","","","","false","""Storm JCPZ0005 ten-unit kit lacks official evidence for required connector attributes"""
"16","VTK000533","BLOCK_IMAGE","","","","","false","""local product has zero images"""
"17","VTK025953","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB5075856443","MLB63370268","859.9","54.715665","true",""""""
"18","VTK004505","BLOCK_IMAGE","","","","","false","""local product has zero images"""
"19","VTK025247","BLOCK_IMAGE","","","","","false","""local product has zero images; exact GTIN catalog also identifies an unrelated automotive part"""
