"sku","produto","estado","mlb","motivo","oferta","custo","estoque","preco_preparado","catalog_product_id"
"VTK018319","Esmerilhadeira Angular Multilaser Fe048 700w 127v","JA_ANUNCIADO_ATIVO","MLB7594387528","Anúncio existente confirmado remotamente. Preservar coorte anterior.","6f20e543-6383-4a8f-a2dd-7697c757c67d","155.9","6","","MLB39329744"
"VTK017249","Cabo óptico Splitter Intelbras Plc 1x2 Sc/ Upc Xfs121 4830028","JA_ANUNCIADO_ATIVO","MLB5192488569","Anúncio existente confirmado remotamente. Preservar coorte anterior.","bdf0cbe3-c9fb-47af-9eec-0b8a8f463b1d","35.9","50","","MLB27047019"
"VTK017680","Cabo Rca Mxt Profissional Blindado 2 Rca + 2 Rca Vermelho 5mm - 03 Metros","CONFLITO_CONFIRMADO","","Catálogo obrigatório informa CABLE_LENGTH=3 cm (produto 3 m), revestimento/material divergentes. Embalagem viva corrigida: 3 × 18 × 21 cm, 252 g.","dad83b6f-2a9d-419f-929a-ba6a72ce9543","33.99","50","","MLB22145517"
"VTK017308","Kit Cooler Fan Evus Fk-12r Rgb","CONFLITO_CONFIRMADO","","Catálogo obrigatório informa 4 pinos, 40 cfm e 20 dB; fabricante/oferta: 6 pinos, 24,5 cfm e 25,6 dBA.","6aa7ac8f-57e5-47d3-b0e6-b7601ae4fbe6","89.9","50","","MLB33317290"
"VTK002091","Caixa Medusa 12 Vias BSMED12 Preta Santo Angelo","PUBLICADO_VALIDADO","MLB5193194293","Todos os gates e readback concluídos","89ab142e-aba9-4c1e-ac55-c1d860e470b7","99.9","9","169.63","MLB21603639"
"VTK019530","Antena Móvel Aquário B-2004p Pop Com 1/4 De Onda Para Rádio Px Com Base De Poliuretano","PENDENCIA_LOGISTICA","","Embalagem viva com 278 cm no maior lado excede limite do serviço ME2 convencional; sem transporte alternativo comprovado/autorizado.","00358350-7888-4432-a3c5-85ddbd296f65","98.9","4","","MLB35786589"
"VTK017291","Bandeja P/ Rack Evus Ev-ftw60 600mm Preto Ventilada","PENDENCIA_VALIDACAO","","Confirmar se IPI 15% já integra custo de aquisição R$52,90. Catálogo sem MODEL estruturado; descrição confirma 490 × 350 mm, 1U.","2245de45-2b90-4247-a656-4bbf82e97bae","52.9","50","","MLB37821866"
"VTK018523","Alto Falante Bravox Coaxial Cx50bk 5"" 60 W Rms 4r Par","PUBLICADO_VALIDADO","MLB7595130266","Todos os gates e readback concluídos","d5bcb01c-5809-4fe0-b981-8a6cdc0ba14e","179.9","7","286.47","MLB27401683"
"VTK017289","Bandeja P/ Rack Evus Ev-ftw450 450mm Preto Ventilada","PENDENCIA_VALIDACAO","","Confirmar se IPI 15% já integra custo de aquisição R$52,90; preservar NCM interno. Catálogo confirma modelo e dimensões.","7f188ea8-1741-4fb7-8185-1ee86f152261","52.9","50","","MLB73813161"
"VTK018716","Cabo De Guitarra Sparflex Nitro 100 Plug Noiseless 5 Metros Preto","CONFLITO_CONFIRMADO","","Imagem da oferta exibe Nitro Guitar 75, não Nitro 100. Catálogo ainda atribui código 538141010F e cabo 1 mm sem evidência correspondente. Necessária imagem correta e revisão técnica.","b3670941-cb0d-4a5d-8e5e-0c7fe9843daa","134.9","5","","MLB22251401"
